iter	Passed	Remaining
846	2742	495
847	2744	492
848	2747	488
849	2750	485
850	2752	482
851	2755	478
852	2758	475
853	2761	472
854	2763	468
855	2767	465
856	2770	462
857	2773	458
858	2776	455
859	2779	452
860	2781	449
861	2784	445
862	2786	442
863	2789	439
864	2792	435
865	2795	432
866	2798	429
867	2801	426
868	2803	422
869	2806	419
870	2809	416
871	2812	412
872	2815	409
873	2818	406
874	2820	402
875	2823	399
876	2826	396
877	2829	393
878	2831	389
879	2834	386
880	2837	383
881	2840	380
882	2843	376
883	2846	373
884	2849	370
885	2852	367
886	2854	363
887	2857	360
888	2860	357
889	2862	353
890	2866	350
891	2868	347
892	2871	344
893	2875	340
894	2877	337
895	2881	334
896	2883	331
897	2886	327
898	2889	324
899	2892	321
900	2894	318
901	2897	314
902	2900	311
903	2903	308
904	2906	305
905	2909	301
906	2911	298
907	2914	295
908	2917	292
909	2920	288
910	2923	285
911	2926	282
912	2929	279
913	2932	275
914	2935	272
915	2938	269
916	2941	266
917	2944	262
918	2947	259
919	2950	256
920	2953	253
921	2956	250
922	2958	246
923	2961	243
924	2964	240
925	2967	237
926	2971	233
927	2973	230
928	2976	227
929	2979	224
930	2982	221
931	2985	217
932	2988	214
933	2991	211
934	2994	208
935	2997	204
936	3000	201
937	3002	198
938	3005	195
939	3008	192
940	3011	188
941	3014	185
942	3017	182
943	3020	179
944	3023	175
945	3025	172
946	3028	169
947	3031	166
948	3034	163
949	3037	159
950	3040	156
951	3043	153
952	3045	150
953	3048	146
954	3051	143
955	3053	140
956	3056	137
957	3059	134
958	3062	130
959	3065	127
960	3068	124
961	3071	121
962	3073	118
963	3076	114
964	3079	111
965	3082	108
966	3085	105
967	3088	102
968	3091	98
969	3094	95
970	3097	92
971	3100	89
972	3102	86
973	3105	82
974	3108	79
975	3111	76
976	3114	73
977	3117	70
978	3120	66
979	3123	63
980	3126	60
981	3129	57
982	3132	54
983	3135	50
984	3138	47
985	3141	44
986	3144	41
987	3146	38
988	3149	35
989	3152	31
